2026-03-17 23:56:46 | Controller: User | Action: Get | User: admin | Duration: 9ms
2026-03-17 23:56:57 | Controller: User | Action: Login | User: Guest | Duration: 2ms
2026-03-17 23:56:57 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-17 23:57:01 | Controller: User | Action: GetMe | User: noa | Duration: 6ms
2026-03-17 23:57:11 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-17 23:57:15 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-17 23:57:20 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-17 23:57:20 | Controller: User | Action: GetMe | User: noa | Duration: 0ms
2026-03-17 23:57:27 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-17 23:57:27 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-17 23:57:32 | Controller: IceCream | Action: Create | User: noa | Duration: 52ms
2026-03-17 23:57:32 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 00:36:59 | Controller: User | Action: Login | User: Guest | Duration: 172ms
2026-03-18 00:37:00 | Controller: IceCream | Action: Get | User: admin | Duration: 13ms
2026-03-18 00:37:05 | Controller: User | Action: Get | User: admin | Duration: 6ms
2026-03-18 00:38:57 | Controller: User | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:39:17 | Controller: User | Action: Update | User: admin | Duration: 37ms
2026-03-18 00:39:17 | Controller: User | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:39:34 | Controller: User | Action: Update | User: admin | Duration: 4ms
2026-03-18 00:39:34 | Controller: User | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:39:37 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:39:39 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:40:01 | Controller: IceCream | Action: Create | User: admin | Duration: 44ms
2026-03-18 00:40:02 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:42:47 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:42:47 | Controller: StaticFile | Action: POST | User: admin | Duration: 7ms
2026-03-18 00:43:01 | Controller: IceCream | Action: Update | User: admin | Duration: 24ms
2026-03-18 00:43:01 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:43:02 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:43:11 | Controller: IceCream | Action: Create | User: admin | Duration: 2ms
2026-03-18 00:43:11 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 00:43:11 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 01:53:08 | Controller: User | Action: Login | User: Guest | Duration: 496ms
2026-03-18 01:53:08 | Controller: User | Action: Login | User: Guest | Duration: 494ms
2026-03-18 01:53:09 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 01:53:09 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 01:53:09 | Controller: StaticFile | Action: POST | User: admin | Duration: 8ms
2026-03-18 01:53:09 | Controller: IceCream | Action: Get | User: admin | Duration: 19ms
2026-03-18 01:53:28 | Controller: IceCream | Action: Update | User: admin | Duration: 17ms
2026-03-18 01:53:28 | Controller: IceCream | Action: Get | User: admin | Duration: 2ms
2026-03-18 01:53:28 | Controller: IceCream | Action: Get | User: admin | Duration: 0ms
2026-03-18 01:53:42 | Controller: IceCream | Action: Update | User: admin | Duration: 6ms
2026-03-18 01:53:42 | Controller: IceCream | Action: Get | User: admin | Duration: 2ms
2026-03-18 01:53:42 | Controller: IceCream | Action: Get | User: admin | Duration: 2ms
2026-03-18 01:53:57 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 01:53:57 | Controller: User | Action: Get | User: admin | Duration: 6ms
2026-03-18 01:53:09 | Controller: StaticFile | Action: GET | User: admin | Duration: 47777ms
2026-03-18 01:54:11 | Controller: User | Action: Update | User: admin | Duration: 21ms
2026-03-18 01:54:11 | Controller: User | Action: Get | User: admin | Duration: 0ms
2026-03-18 01:54:30 | Controller: User | Action: Create | User: admin | Duration: 40ms
2026-03-18 01:54:30 | Controller: User | Action: Get | User: admin | Duration: 1ms
2026-03-18 01:54:37 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 01:54:43 | Controller: User | Action: Login | User: Guest | Duration: 3ms
2026-03-18 01:54:44 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 01:54:44 | Controller: StaticFile | Action: POST | User: noa | Duration: 0ms
2026-03-18 01:54:44 | Controller: IceCream | Action: Get | User: noa | Duration: 2ms
2026-03-18 01:54:53 | Controller: StaticFile | Action: POST | User: noa | Duration: 0ms
2026-03-18 01:54:53 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 01:55:09 | Controller: IceCream | Action: Update | User: noa | Duration: 5ms
